# Derived from google/mozc emoji_data.tsv, revision 9fbd649bea4c5e99cd8ad5e487213b26a953a376
# Copyright 2010-2018, Google Inc. All rights reserved.
# License: BSD-3-Clause; see THIRD_PARTY_LICENSES for full terms.
# Unicode CLDR 46.1; Copyright © 2004-2024 Unicode, Inc.
# License: Unicode-3.0; see THIRD_PARTY_LICENSES for full terms.
# azooKey porter version: 1
# Emoji version ceiling: 15.0
# Product aliases: 😄 = わらい / smile (preferred equal match).
#️⃣	かこみすうじ|しゃーぷ|しゃーぷだいやる		絵文字	1874
☠️	かお|がいこつ|し|すかる|どくろ|どくろとほね|ほね		絵文字	1810
☢️	きけん|ほうしゃせい|ほうしゃせん|ほうしゃのう		絵文字	1809
☣️	きけん|ばいおはざーど|ゆうがいぶっしつ		絵文字	1808
☦️	きりすときょう|しゅうきょう|じゅうじか|はったんじゅうじか		絵文字	1807
☪️	いすらむきょう|しゅうきょう|ほし|ほしとみかづき|みかづき|むすりむ		絵文字	1806
☮️	ぴーすまーく|へいわ|へいわのしんぼる		絵文字	1805
☯️	いんやん|いんよう|しゅうきょう|どうきょう		絵文字	1804
☸️	しゅうきょう|てんぽうりん|ぶっきょう|ほうりん		絵文字	1803
☹️	かお|かなしい|こまった|こまったかお|しかめつら		絵文字	1802
☺️	えがお|かお|すまいりー|すまいる|はっぴー|ほっ		絵文字	1801
♀️	おんな|しんぼる|じょせい|じょせいのまーく		絵文字	1800
♂️	おとこ|しんぼる|だんせい|だんせいのまーく		絵文字	1799
♈️	おひつじざ|せいざ		絵文字	1798
♉️	おうしざ|せいざ		絵文字	1797
♊️	せいざ|ふたござ		絵文字	1796
♋️	かにざ|せいざ		絵文字	1795
♌️	ししざ|せいざ		絵文字	1794
♍️	おとめざ|せいざ		絵文字	1793
♎️	せいざ|てんびんざ		絵文字	1792
♏️	さそりざ|せいざ		絵文字	1791
♐️	いてざ|せいざ		絵文字	1790
♑️	せいざ|やぎざ		絵文字	1789
♒️	せいざ|みずがめざ		絵文字	1788
♓️	うおざ|せいざ		絵文字	1787
♟️	こま|すてごま|ちぇす|ちぇすのこま		絵文字	1786
♠️	かーど|すぺーど|とらんぷ		絵文字	1785
♣️	かーど|くらぶ|くろーばー|とらんぷ		絵文字	1784
♥️	かーど|とらんぷ|はーと		絵文字	1783
♦️	かーど|だいあ|だいや|とらんぷ		絵文字	1782
♨️	いいきぶん|おんせん|おんせんまーく|ゆげ		絵文字	1781
♻️	さいせい|さいりよう|じゅんかんやじるし|りさいくる|りさいくるまーく		絵文字	1780
♾️	えいえん|ばんぶつ|むげん|むげんだい		絵文字	1779
♿️	くるまいす|ばりあふりー|ばりやふりー		絵文字	1778
⚒️	かなづち|こうぐ|つるはし|とんかち|はんまー|はんまーとつるはし		絵文字	1777
⚓️	いかり|ふね|みなと		絵文字	1776
⚔️	かたな|くろすしたけん|けん|つるぎ|ぶき		絵文字	1775
⚕️	あすくれぴおすのつえ|いしゃ|いりょう|いりょうのしんぼる|ちりょう		絵文字	1774
⚖️	かがく|じっけん|せいざ|てんびん|てんびんざ|はかり|ばらんす		絵文字	1773
⚗️	かがく|じっけん|じょうりゅうき		絵文字	1772
⚙️	ぎあ|こうぐ|はぐるま		絵文字	1771
⚛️	げんし|げんしのしんぼる|げんそ|ぶんし|むしんろん		絵文字	1770
⚜️	えんぶれむ|ふらんすおうけ|ふるーるどりす|もんしょう|ゆり		絵文字	1769
⚠️	きけん|けいこく|ちゅうい|ひょうしき		絵文字	1768
⚡️	いなずま|いなづま|かみなり|きけん|こうでんあつ|でんき		絵文字	1767
⚧️	しんぼる|せいべつ|てぃーじー|とらんすじぇんだーのまーく		絵文字	1766
⚪️	しろ|しろいまる|まる|まるいぼたん		絵文字	1765
⚫️	くろ|くろいまる|くろまる|まる|まるいぼたん		絵文字	1764
⚰️	かんおけ|きゅうけつき|し|ししゃ|ひつぎ|まいそう		絵文字	1763
⚱️	いはい|こつつぼ|し|そうぎ|まいそう		絵文字	1762
⚽️	さっかー|さっかーぼーる|すぽーつ|ぼーる		絵文字	1761
⚾️	すぽーつ|ぼーる|やきゅう|やきゅうぼーる		絵文字	1760
⛄️	ゆき|ゆきだるま		絵文字	1759
⛅️	くも|くもり|くもりときどきはれ|たいよう|てんき|ときどきくもり		絵文字	1758
⛈️	あめ|いなずま|かみなり|くも|てんき|らいう|らいうん		絵文字	1757
⛎️	せいざ|へびつかいざ|へびつかざ		へびつかい座	1756
⛏️	こうぐ|さいくつ|つるはし		絵文字	1755
⛑️	きゅうきゅう|きゅうじょたい|はくじゅうじ|はくじゅうじへるめっと|へるめっと|ぼうし		絵文字	1754
⛓️	くさり|ちぇーん		絵文字	1753
⛔️	きせい|きんし|しゃりょうしんにゅうきんし|しんにゅうきんし|たちいりきんし|どうろ|ひょうしき		絵文字	1752
⛩️	しゅうきょう|しんとう|じんじゃ|たてもの|とりい		絵文字	1751
⛪️	きょうかい|きりすときょう|しゅうきょう|じゅうじか|たてもの|ちゃぺる|れいはいどう		絵文字	1750
⛰️	さんがく|やま		絵文字	1749
⛱️	あめ|かさ|すなはま|ぱらそる|ひがさ|びーち		絵文字	1748
⛲️	こうえん|ふんすい		絵文字	1747
⛳️	ごるふ|すぽーつ|はた|ふらぐ|ふらっぐ|ほーる		絵文字	1746
⛴️	きゃくせん|のりもの|ふぇりー|ふね		絵文字	1745
⛵️	せーりんぐ|のりもの|はんせん|ふね|ぼーと|よっと|りぞーと		絵文字	1744
⛷️	すきー|すきーやー|すとっく|すぽーつ		絵文字	1743
⛸️	あいすすけーと|すけーと|すぽーつ|ふぃぎゅあすけーと		絵文字	1742
⛹️	きゅうぎ|すぽーつ|どりぶる|ばすけ|ばすけっとぼーる|ばすけっとぼーるせんしゅ|ばすけっとぼーるをするひと		絵文字	1741
⛹️‍♀️	きゅうぎ|じょせい|すぽーつ|どりぶる|ばすけ|ばすけっとぼーる|ばすけっとぼーるをするおんな		絵文字	1740
⛹️‍♂️	きゅうぎ|すぽーつ|だんせい|ばすけ|ばすけっとぼーる|ばすけっとぼーるをするおとこ		絵文字	1739
⛺️	きゃんぷ|てんと		絵文字	1738
⛽️	がすすたんど|がそりん|がそりんすたんど|がそりんのずる|きゅうゆ		絵文字	1737
✂️	かっと|きる|はさみ|びよういん|ぶんぐ|ぶんぼうぐ		絵文字	1736
✅️	きごう|しろぬきのちぇっく|すみ|ちぇっく|ちぇっくまーく|ぴん		絵文字	1735
✈️	こうくうき|じぇっとき|のりもの|ひこうき|りょこう		絵文字	1734
✉️	いーめーる|てがみ|でんしめーる|ふうとう|めーる|ゆうびん		絵文字	1733
✊️	あげたこぶし|ぐー|げんこつ|こぶし|て		グー	1732
✋️	きょしゅ|すとっぷ|て|てのひら|ぱー		パー	1731
✌️	ちょき|て|ぴーす|ぶいさいん|ゆび		絵文字	1730
✍️	かいているて|て|てがき|てでかく		絵文字	1729
✏️	えんぴつ|ぶんぐ|ぶんぼうぐ		絵文字	1728
✒️	えでぃっと|ぶんぐ|ぶんぼうぐ|ぺん|ぺんさき|まんねんひつ		絵文字	1727
✔️	きごう|すみ|ちぇっく|ちぇっくまーく|ふとじのちぇっく		絵文字	1726
✖️	かけざん|かける|きごう|きゃんせる|じょうざん|ばつ|ぺけ		絵文字	1725
✝️	きりすときょう|くろす|しゅうきょう|じゅうじか|らてんじゅうじ		絵文字	1724
✡️	しゅうきょう|だびでのほし|ほし|ゆだやきょう|ろくぼうせい		絵文字	1723
✨️	きらきら|すたー|ぴかぴか|ほし		キラキラ	1722
✳️	あすたりすく|かざり|きごう|はっかくあすたりすく|ほし|やくもの		絵文字	1721
✴️	かざり|きごう|すぱーく|はっかくせい|ほし|やくもの		絵文字	1720
❄️	けっしょう|てんき|ゆき|ゆきのけっしょう		絵文字	1719
❇️	あすたりすく|きごう|きらきら|すぱーく|すぱーくる|やくもの		絵文字	1718
❌️	かけざん|きごう|きゃんせる|じょうざん|ばつ|ぺけ		バツ	1717
❎️	かけざん|きごう|きゃんせる|しろぬきのばつ|じょうざん|ばつ|ぺけ		バツ	1716
❓️	あかいぎもんふ|きごう|ぎもんふ|くえすちょん|くえすちょんまーく|はてな|はてなまーく|やくもの		？	1715
❔️	きごう|ぎもんふ|くえすちょん|くえすちょんまーく|しろいぎもんふ|はてな|はてなまーく|やくもの		？	1714
❕️	えくすくらめーしょんまーく|きごう|ぎもんふ|しろいかんたんふ|びっくり|びっくりまーく|やくもの		！	1713
❗️	あかいかんたんふ|えくすくらめーしょんまーく|かんたんふ|きごう|びっくりまーく|やくもの		絵文字	1712
❣️	えくすくらめーしょんまーく|はーと|はーとのびっくり|びっくりまーく		絵文字	1711
❤️	あい|あか|あかいはーと|くろはーと|はーと|はーとまーく		絵文字	1710
❤️‍🔥	あい|せいなるしんぞう|はーと|ひのついた|ほのお|もえるはーと		絵文字	1709
❤️‍🩹	きずついた|けが|しょうしん|はーと|ほうたい|ほうたいをまいたはーと		絵文字	1708
➕️	かさん|きごう|たしざん|たす|ぷらす		＋	1707
➖️	きごう|けいさん|げんざん|ひきざん|ひく|まいなす|ー		ー	1706
➗️	きごう|じょさん|わりざん|わる		÷	1705
➡️	ひがし|みぎ|みぎやじるし|やじるし		絵文字	1704
➰️	きごう|ちょうおん|るーぷ|わっか		ループ	1703
➿️	きごう|だぶるるーぷ|ふりーだいやる|るーぷ|わっか		フリーダイヤル	1702
⤴️	うえ|うえかーぶやじるし|うえやじるし|かーぶ|きょくせん|ぐっど|やじるし		絵文字	1701
⤵️	かーぶ|きょくせん|した|したかーぶやじるし|したやじるし|ばっど|やじるし		絵文字	1700
⬅️	にし|ひだり|ひだりやじるし|やじるし		絵文字	1699
⬆️	うえ|うえやじるし|きた|やじるし		絵文字	1698
⬇️	した|したやじるし|みなみ|やじるし		絵文字	1697
⬛️	くろ|くろしかくとくだい|しかく|せいほうけい		絵文字	1696
⬜️	しかく|しろ|しろしかくとくだい|せいほうけい		絵文字	1695
⭐️	すたー|てんもんがく|ほし		絵文字	1694
⭕️	あかいまる|えん|きごう|ふといまる|まる|わ		絵文字	1693
〰️	きごう|ちょうおんきごう|なみ|なみせん|やくもの|ー		絵文字	1692
〽️	いおりてん|うたきごう|きごう|やくもの		絵文字	1691
㊗️	いわい|いわいまーく|おいわい|おめでとう		絵文字	1690
㊙️	ごくひ|しゃがいひ|ひ|ひみつ|まるひ		絵文字	1689
🀄️	げーむ|じゃんぱい|なか|ぱい|まーじゃん|まーじゃんぱい		絵文字	1688
🃏	かーど|じじ|じょーかー|とらんぷ|ばば	card|game|joker|wildcard	ジョーカー	1687
🅰️	えいがた|えーがた|けつえきがた|けつえきがたえいがた		Ａ型	1686
🅱️	けつえきがた|けつえきがたびーがた|びーがた		Ｂ型	1685
🅾️	おーがた|けつえきがた|けつえきがたおーがた		Ｏ型	1684
